"Field Name","Alias","Description","Type"
"ADDRESS","Address","Address","Text"
"ADDRESSOBJECTID","Address Object ID","Unique identifier for each address.","Text"
"CASECOMPLETEDDATE","Case Completed Date","The date that the case was closed.","Date/Time"
"CASECREATEDDATE","Case Created Date","The date that the case was created.","Date/Time"
"CASENUMBER","Case Number","The unique identifier of an L&I case.  L&I cases are typically created upon response to a public complaint.  The generation of an L&I case is not meant to indicate there are or were code violations found, just that an investigation was or will be conducted. The case can either be against a property due to suspected building or property violation, or against a business/license holder due to suspected breach of license contract.  L&I will issue subsequent violations on a case upon the discovery of active code violations.","Text"
"CASEPRIORITYDESC","Case Priority Description","Priority type of the case.","Text"
"CASERESPONSIBILITY","Case Responsibility","Used to assign which unit is responsible for the case going forward.","Text"
"CASESTATUS","Case Status","Status of the case, which is different than the status of individual related violations.","Text"
"CASETYPE","Case Type","Type of case.","Text"
"CENSUSTRACT","Census Tract","Census tract of the address.","Text"
"COUNCIL_DISTRICT","Council District","City Council District.","Text"
"MOSTRECENTINVESTIGATION","Most Recent Investigation","Date of the most recent investigation on the case.","Date/Time"
"OPA_ACCOUNT_NUM","OPA Account Number","Office of Property Assessment Account Number' Every land parcel within the City of Philadelphia is assigned a unique account number from OPA. This number stays with the property for as long as the deed is held by the same owner. Once a property transfers ownership, it is assigned a new OPA account number and the old one is retired. <br /><br />This field can be used as a join key for various city datasets. It is also sometimes known as the 'BRT' number or within some datasets coming directly from OPA is also called the 'PARCEL_NUMBER'. (Other departments may use different internal 'Parcel Numbers', so please verify before using).","Text"
"OPA_OWNER","OPA Owner","Office of Property Assessment's ownership from the current deed for the property.","Text"
"PARCEL_ID_NUM","Parcel ID Number","Unique identifier for each parcel assigned by Philadelphia Water Department.","Text"
"POSSE_JOBID","POSSE Job ID","Objectid and join field for related records.","Text"
"PUBLICNOV","Public Notice of Violation","URL hosting the public Notice of Violation document when one is available. For violations issued prior to July 1, 2024, please visit https://www.phila.gov/services/permits-violations-licenses/get-a-copy-of-a-license-permit-or-violation/ to get a notice of violation report.","URL"
"SYSTEMOFRECORD","System of Record","The L&I system where this record originates. Possible values: HANSEN (1/1/2007-3/13/2020), ECLIPSE (3/16/2020-present).","Text"
"UNDERAPPEAL","Under Appeal","Indicates whether a case is under appeal.","Text"
"UNIT_NUM","Unit Number","Sub-designation identifier.  Suite number, apartment number, or any other additional address designation.","Text"
"UNIT_TYPE","Unit Type","Sub-designation type.  Suite, apartment, or any other additional unit type designation.","Text"
"VIOLATIONCODE","Violation Code","Categorical code of violation.","Text"
"VIOLATIONCODETITLE","Violation Code Title","Title of code of violation.","Text"
"VIOLATIONDATE","Violation Date","Date of violation.","Date/Time"
"VIOLATIONNUMBER","Violation Number","The unique identifier for each individual violation written.","Text"
"VIOLATIONRESOLUTIONCODE","Violation Resolution Code","Reason why this violation was resolved.","Text"
"VIOLATIONRESOLUTIONDATE","Violation Resolution Date","The date the violation was resolved.","Date/Time"
"VIOLATIONSTATUS","Violation Status","Status of a violation.","Text"
"ZIP","ZIP Code","ZIP+4 or postal code of the address.","Text"
